Region,Persistence,Area,Total,Perce_Pers,Percentage
Central_CA,High,31828503.75,91571949.5,34.75791869,8.62116753
Central_CA,Mid,25497222.25,182834125.8,13.94554881,6.906256929
Central_CA,Low,10086700.75,94784102.75,10.64176424,2.73211514
Southern_CA,High,25938160.75,91571949.5,28.32544343,7.025690903
Southern_CA,Mid,88005371,182834125.8,48.13399612,23.83740853
Southern_CA,Low,42137534.25,94784102.75,44.45633078,11.4135036
Northern_BA,High,12341626.75,91571949.5,13.47751884,3.342891411
Northern_BA,Mid,38890031.5,182834125.8,21.27066342,10.5338749
Northern_BA,Low,27819126.25,94784102.75,29.34999166,7.535175069
Central_BA,High,21463658.25,91571949.5,23.43911904,5.813713238
Central_BA,Mid,30441501,182834125.8,16.64979165,8.245479651
Central_BA,Low,14740741.5,94784102.75,15.55191332,3.992723095
