Region,Status,Persistence,Percentage,Area_region,Area_all
Southern_CA,Full,All,3.569109035,13176800,369190178
Southern_CA,Partial,All,1.485223694,5483300,369190178
Southern_CA,Low,All,13.1076889,48392300,369190178
Central_CA,Full,All,3.822257698,14111400,369190178
Central_CA,Partial,All,2.417182399,8924000,369190178
Central_CA,Low,All,7.785066265,28741700,369190178
Northern_BA,Full,All,0.251713089,929300,369190178
Northern_BA,Partial,All,0.009940676,36700,369190178
Northern_BA,Low,All,1.451555409,5359000,369190178
Central_BA,Full,All,0.123296888,455200,369190178
Central_BA,Partial,All,0,0,369190178
Central_BA,Low,All,16.71975683,61727700,369190178
Southern_CA,Full,High,3.154677842,2888800,91571949.5
Northern_BA,Full,High,0.130498478,119500,91571949.5
Central_CA,Full,High,8.265085587,7568500,91571949.5
Central_BA,Full,High,0.133556183,122300,91571949.5
Southern_CA,Low,High,7.901764721,7235800,91571949.5
Northern_BA,Low,High,0.711899226,651900,91571949.5
Central_CA,Low,High,16.29167019,14918600,91571949.5
Central_BA,Low,High,23.34448498,21377000,91571949.5
Southern_CA,Partial,High,1.084502411,993100,91571949.5
Northern_BA,Partial,High,0.000327611,300,91571949.5
Central_CA,Partial,High,4.664638051,4271500,91571949.5
Southern_CA,Full,Low,3.330516309,3156800,94784102.75
Northern_BA,Full,Low,0.217441527,206100,94784102.75
Central_CA,Full,Low,1.929120967,1828500,94784102.75
Central_BA,Full,Low,0.133777708,126800,94784102.75
Southern_CA,Low,Low,14.33689786,13589100,94784102.75
Northern_BA,Low,Low,1.402239364,1329100,94784102.75
Central_CA,Low,Low,4.354316684,4127200,94784102.75
Central_BA,Low,Low,13.79176425,13072400,94784102.75
Southern_CA,Partial,Low,1.583493388,1500900,94784102.75
Northern_BA,Partial,Low,0.018252006,17300,94784102.75
Central_CA,Partial,Low,1.363308785,1292200,94784102.75
Southern_CA,Full,Mid,3.949973764,7221900,182834125.8
Northern_BA,Full,Mid,0.331885526,606800,182834125.8
Central_CA,Full,Mid,2.609250313,4770600,182834125.8
Central_BA,Full,Mid,0.115623929,211400,182834125.8
Southern_CA,Low,Mid,15.26219456,27904500,182834125.8
Northern_BA,Low,Mid,1.856600886,3394500,182834125.8
Central_CA,Low,Mid,5.363550134,9806400,182834125.8
Central_BA,Low,Mid,15.09893182,27606000,182834125.8
Southern_CA,Partial,Mid,1.665225234,3044600,182834125.8
Northern_BA,Partial,Mid,0.010610711,19400,182834125.8
Central_CA,Partial,Mid,1.857311913,3395800,182834125.8
