year,month,day,Northern_CA,Southern_CA,Northern_BA,Central_BA
1984,1,1,NaN,NaN,NaN,NaN
1984.25,4,1,336.83,1116.2,182.28,NaN
1984.5,7,1,853.57,681.98,NaN,NaN
1984.75,10,1,257.37,391.89,20.745,NaN
1985,1,1,NaN,1051.9,181,NaN
1985.25,4,1,2041.3,1545.5,NaN,NaN
1985.5,7,1,2446.2,337.82,NaN,NaN
1985.75,10,1,986.11,151.96,NaN,NaN
1986,1,1,18.592,294.78,NaN,NaN
1986.25,4,1,316.14,153.58,270.88,NaN
1986.5,7,1,1678.3,639.01,470.42,NaN
1986.75,10,1,719.16,649.86,132.6,NaN
1987,1,1,75.862,281.82,8.949,NaN
1987.25,4,1,468.78,934.47,841.09,NaN
1987.5,7,1,2276.5,1308,1086.2,4.1655
1987.75,10,1,NaN,572.62,0,NaN
1988,1,1,90.169,12.047,NaN,NaN
1988.25,4,1,595.91,196.26,NaN,NaN
1988.5,7,1,1888.8,909.89,NaN,NaN
1988.75,10,1,589.21,589.26,NaN,NaN
1989,1,1,278.99,1079,NaN,NaN
1989.25,4,1,1600.7,1023.2,NaN,NaN
1989.5,7,1,1916.8,476.32,NaN,NaN
1989.75,10,1,309.53,930.69,NaN,NaN
1990,1,1,6.1966,553.14,NaN,NaN
1990.25,4,1,1758.6,2152.3,919.71,290.98
1990.5,7,1,3153,1262.3,NaN,NaN
1990.75,10,1,1697.7,337.8,NaN,NaN
1991,1,1,NaN,NaN,NaN,NaN
1991.25,4,1,1492.1,1919.3,NaN,NaN
1991.5,7,1,NaN,1159.3,NaN,NaN
1991.75,10,1,NaN,350.39,179.09,NaN
1992,1,1,NaN,NaN,36.536,209.18
1992.25,4,1,829.13,1031.7,377.66,NaN
1992.5,7,1,2263.7,441.58,297.25,0
1992.75,10,1,422.21,238.65,93.697,NaN
1993,1,1,36.164,166.09,184.53,1.9206
1993.25,4,1,451.7,859.6,582.52,11.389
1993.5,7,1,1247.5,410.4,450.52,223.5
1993.75,10,1,514.04,90.425,101.73,389.63
1994,1,1,20.26,97.422,55.913,317.92
1994.25,4,1,460.75,2457.2,958.69,1146.9
1994.5,7,1,1726.6,1685.4,487.14,192.15
1994.75,10,1,442.22,440.18,86.147,NaN
1995,1,1,8.3223,257.74,184.68,NaN
1995.25,4,1,196.25,211.54,239.06,NaN
1995.5,7,1,1085.4,281.09,555.17,NaN
1995.75,10,1,571.12,181.82,71.703,168.94
1996,1,1,17.235,84.26,60.432,NaN
1996.25,4,1,354.05,283.57,183.82,NaN
1996.5,7,1,NaN,121.4,159.99,NaN
1996.75,10,1,NaN,190.54,62.995,NaN
1997,1,1,40.571,332.61,67.927,NaN
1997.25,4,1,768.39,771.61,482.28,NaN
1997.5,7,1,1510.1,249.27,439.75,NaN
1997.75,10,1,133.68,6.7494,6.4248,NaN
1998,1,1,4.532,17.756,4.1475,NaN
1998.25,4,1,49.785,118.36,4.9492,NaN
1998.5,7,1,253.37,278.51,79.352,NaN
1998.75,10,1,189.36,174.51,91.878,NaN
1999,1,1,38.178,720.05,241.26,NaN
1999.25,4,1,535.53,1379.6,538.3,NaN
1999.5,7,1,1660.7,1114.5,795.51,1613.5
1999.75,10,1,518.17,332.01,200.03,1301.4
2000,1,1,4.095,179.01,74.932,617.11
2000.25,4,1,128.69,301.22,501,2054.3
2000.5,7,1,1302.1,491.93,658.84,1057.6
2000.75,10,1,726.11,356.56,174.42,520.16
2001,1,1,77.86,470.68,204.42,656.04
2001.25,4,1,810.51,937.74,697.99,1237.9
2001.5,7,1,1945.1,615.68,670.92,619.44
2001.75,10,1,395.45,505.01,181.6,269.82
